GeoFips,GeoName,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
998,United States (Metropolitan Portion),175466407,177030533,178686628,180432448,182401281,184484865,186782151,188778153,190745925,192718299,194703380,196876182,199228098,201492835,203720597,206023143,208731806,211749567,214894354,217865356,220657445,223370500,226131436,229081203,232040831,235008165,237948237,240717866,243260703,245592588,248115013,250646689,253256238,255922913,258627316,261210075,263718787,266205658,268779366,271230523,273817755,276425937
10180,"Abilene, TX (Metropolitan Statistical Area)",128625,131031,133379,133052,134462,136601,140098,143310,148899,152939,153587,153470,155031,153655,150042,149324,147834,147400,149917,152909,153779,156097,156351,157405,158264,159755,160288,158917,159012,158810,160156,160761,161389,162023,162508,163888,165673,167069,168246,168614,169859,171579
10420,"Akron, OH (Metropolitan Statistical Area)",670284,672844,667910,662233,658517,660364,660334,658870,656126,653968,651917,648457,646647,647810,652814,655626,658654,664478,669752,674114,678063,682146,687264,689461,691039,693125,695946,698108,699533,701139,701811,702498,702433,703423,703300,703361,703057,703272,702245,703809,705134,704664
10500,"Albany, GA (Metropolitan Statistical Area)",130309,131861,134378,137462,138191,140660,142986,144771,145744,145846,146534,147235,146612,145828,144961,144058,143025,144169,146343,148122,149356,150100,151596,152692,153449,153555,153585,153730,153024,152790,152887,152919,153535,153661,153823,154409,154227,154933,154669,153680,153263,152018
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",79006,80942,82420,84723,86334,88999,89668,90173,89748,89415,89253,88019,88026,88069,89223,89890,91690,93145,94112,95496,96919,98853,100582,102054,102770,103462,103020,103544,104561,106035,106799,108132,110764,112932,114967,116001,116840,117938,117865,117822,118285,119295
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",772691,774345,772927,774635,776648,776196,771823,772505,773678,777649,779804,783736,788761,791466,798121,803919,811352,818272,824285,827812,830817,830439,828007,824711,823712,824119,827399,831034,836753,844619,850384,854604,860365,863068,866282,869361,871603,875387,879397,883854,886981,889918
10740,"Albuquerque, NM (Metropolitan Statistical Area) *",440633,450712,464570,481349,492914,508581,525593,534415,511169,522356,533544,544603,558859,574324,583976,594036,602588,616345,633032,649987,669734,687901,700161,709661,717406,722692,732220,741932,757716,772128,789237,809551,831252,849641,863383,876448,889434,897378,900747,903185,902178,903085
10780,"Alexandria, LA (Metropolitan Statistical Area)",140176,141141,143786,146270,147614,149880,152197,152773,152877,154017,154515,153989,154335,153188,151377,150180,148982,149046,147621,142225,143086,144162,143970,143986,144330,144803,145179,145102,145416,146017,146973,147930,151142,151506,152442,153164,154112,154538,154643,154972,155021,154658
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",617690,622114,624814,627598,629719,633073,636389,638748,640790,641637,644843,648256,654365,663413,674767,682657,688801,696168,702948,708776,714019,717685,722063,726464,730779,736327,741817,748705,756628,766938,777277,787738,798586,807578,814050,817779,822144,826750,829566,830735,835077,838490
11020,"Altoona, PA (Metropolitan Statistical Area)",136956,136611,136023,137015,137705,137966,136443,135457,135600,134397,132925,132253,131556,131712,131408,130546,130593,131160,131270,131661,132124,131802,131080,130931,130509,129757,128981,128471,127631,127353,127194,126730,127002,127048,127112,127161,127089,127192,126931,126389,125986,125469
